refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_developmental_stage	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
SRR3129927	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 41 Tumor	
SRR3129928	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 42 Tumor	
SRR3129929	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 43 Tumor	
SRR3129930	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 44 Tumor	
SRR3129931	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 45 Tumor	
SRR3129932	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 47 Tumor	
SRR3129933	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 48 Tumor	
SRR3129934	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 49 Tumor	
SRR3129935	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 50 Tumor	
SRR3182261	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 49 Normal	
