ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSG00000257647,4.906580078636045,-0.043943819495876155,0.3151703134562744,-0.13942880283987394,0.889111313273945,0.9103593886032038,
ENSG00000198108,26.852765981311478,-0.03673308254884452,0.2638853654096596,-0.13920090828765563,0.8892913907827078,0.9105039173923268,CHSY3
ENSG00000274002,8.50127758845402,-0.041773247557068724,0.3003006877825951,-0.13910473487596797,0.8893673867157907,0.9105418739306969,
ENSG00000198791,1030.100824692957,-0.017565469016668563,0.12645188628188292,-0.13891029650211878,0.8895210344235672,0.9106593242131513,CNOT7
ENSG00000148730,3907.8684930097725,-0.017667735528774466,0.12729047438303068,-0.13879856772008217,0.8896093258242833,0.9106700052077481,EIF4EBP2
ENSG00000128915,570.2096072658273,-0.011780794335262003,0.0848504198102942,-0.13884190981731281,0.8895750754496429,0.9106700052077481,ICE2
ENSG00000143674,293.745210148116,-0.027334738471277483,0.19736268957680195,-0.1385000302229891,0.8898452457319205,0.9108716506982373,MAP3K21
ENSG00000185338,106.30279695046909,0.03965122546253124,0.28661052836669204,0.13834532069876063,0.8899675091093647,0.910956941480501,SOCS1
ENSG00000167083,21.83634612881222,0.031901468994695086,0.2320838157377718,0.13745667225128747,0.8906698381287473,0.9116359450162235,GNGT2
ENSG00000235499,10.57101816291265,0.03392841127635862,0.24706252750108582,0.13732722489131627,0.8907721519413807,0.9117007766172873,
ENSG00000168026,128.5728593145879,0.02086147456844103,0.15239081536442153,0.13689456624110646,0.8911141339130528,0.9120108909580454,TTC21A
ENSG00000100372,432.97579086597716,-0.008598799325213456,0.06302092461254151,-0.13644356026319307,0.8914706395375873,0.912335841749181,SLC25A17
ENSG00000137709,14.811216899634205,0.03812655258232847,0.2799455099393421,0.13619276333665664,0.8916688958851967,0.91249881803414,POU2F3
ENSG00000122884,1313.152632853966,0.031574978202789664,0.2320150176343307,0.13609023469572853,0.8917499472896516,0.9125019254165092,P4HA1
ENSG00000160188,13.989576335642832,0.031117625716450378,0.22864560933080896,0.13609544398217063,0.8917458291937201,0.9125019254165092,RSPH1
ENSG00000164082,16.261910641159634,-0.030324846031648194,0.22304960152599582,-0.13595561625835909,0.8918563681821061,0.9125709045964487,GRM2
ENSG00000276488,16.333384512804084,-0.02115663176623627,0.15597884237021928,-0.1356378303925383,0.8921075974766569,0.9127880430289742,
ENSG00000256020,23.050599750005496,-0.04783966049241248,0.3547049677850918,-0.13487169573953503,0.8927133185707662,0.9133678560761866,LOC105369595
ENSG00000198690,657.4148324635416,-0.016683724363545992,0.12409334765162841,-0.13444495357142586,0.8930507364691942,0.9136731195374529,FAN1
ENSG00000140990,1140.7315021354252,0.01546674896694577,0.11520755453049458,0.13425116981240875,0.8932039644431288,0.9137899212900426,NDUFB10
ENSG00000139055,26.604825384342604,0.02823941075437067,0.2106438221652415,0.13406237346100758,0.8933532526264989,0.9139026824109716,ERP27
ENSG00000171861,265.2997517553471,-0.014598387410389657,0.10973481426962028,-0.13303332682115973,0.8941670237489369,0.914695171705391,MRM3
ENSG00000119912,657.2257206103448,-0.01120515997073684,0.0842706792370085,-0.13296629470877647,0.8942200366853064,0.9147094021679729,IDE
ENSG00000267072,10.879484871394068,-0.024115185205506182,0.18147116540948083,-0.1328871457407101,0.8942826329520203,0.9147334338717363,
ENSG00000109323,567.2537891408571,0.014708876072096007,0.1109899439213154,0.13252440313442843,0.8945695223417497,0.9149246819880538,MANBA
ENSG00000267719,24.491755142196226,-0.026915285796571146,0.20313057946124305,-0.1325023827921809,0.894586938447944,0.9149246819880538,LINC02078
ENSG00000254559,11.968490708798193,-0.1648734253599501,1.2441450308938344,-0.13251945815472946,0.8945734333706139,0.9149246819880538,
ENSG00000006283,12.55011173049121,0.028690236832564563,0.21715578338290692,0.13211822584515548,0.8948907801407123,0.9151954192459423,CACNA1G
ENSG00000259994,57.42316178591649,0.015618260730549635,0.11857834074039364,0.13171259298309007,0.8952116245415014,0.9154835205639057,
ENSG00000269899,44.446880056651736,0.02612387952927203,0.1985829754653563,0.13155145584889003,0.8953390843285332,0.915573841567467,
ENSG00000091542,1216.453878467935,-0.010546399740147289,0.08021020677556918,-0.13148451006561376,0.8953920393681399,0.9155879694426234,ALKBH5
ENSG00000261061,63.17538478657012,-0.021847833429323636,0.16640030439384879,-0.13129683571739473,0.8955404948550678,0.9156997463128159,
ENSG00000260287,5.1478431865513,-0.2713719119432297,2.072986722550196,-0.1309086589852283,0.8958475647545235,0.9159338679430828,TBC1D3G
